"","GeneName"
"1","Arc"
"2","Olig1"
"3","Nfasc"
"4","Tmem163"
"5","Erbb3"
"6","Kndc1"
"7","Gm15440"
"8","Prom1"
"9","Sln"
"10","Zfp704"
"11","Trim36"
"12","Pigz"
"13","Anln"
"14","Gamt"
"15","Tmem88b"
"16","Gjb1"
"17","Cpox"
"18","Mal"
"19","Ctsk"
"20","Tspan2"
"21","Gal3st1"
"22","Prr5l"
"23","Cntn2"
"24","Gjc3"
"25","Frmd8"
"26","1700047M11Rik"
"27","Tppp3"
"28","Smim1"
"29","Itgb4"
"30","Ntn4"
"31","Pou3f1"
"32","Gm43848"
"33","Fgfrl1"
"34","Col23a1"
"35","Rab7b"
"36","Itih3"
"37","Fmod"
"38","Pacrg"
"39","Gli3"
"40","Serpinf1"
"41","Clec3b"
"42","Amigo2"
"43","Slc7a11"
"44","Phkg1"
"45","Sox9"
"46","Tlr1"
"47","Pdlim4"
"48","Acsl6"
"49","Sfrp1"
"50","Btbd17"
"51","Gjb6"
"52","Colec12"
"53","Pcolce"
"54","Col1a2"
"55","Ptgds"
"56","Rspo3"
"57","1500015O10Rik"
"58","Foxp2"
"59","Thbs1"
"60","Fxyd5"
"61","Nov"
"62","Fn1"
"63","Kcne1l"
"64","RP24-136L4.5"
"65","Riiad1"
"66","Gm14964"
"67","Trpc5"
"68","Pag1"
"69","Fam167a"
"70","Gm266"
"71","Sox21"
"72","2510009E07Rik"
"73","Sox2"
"74","Slc39a12"
"75","Mfge8"
"76","Tril"
"77","Fgfr3"
"78","Ppp1r3g"
"79","Dbx2"
"80","Htra1"
"81","S1pr1"
"82","Cldn10"
"83","Hopx"
"84","Grin2c"
"85","Slc7a10"
"86","Pla2g7"
"87","Plpp3"
"88","Nkain4"
"89","Npas4"
"90","Dpf3"
"91","Adam11"
"92","Slc38a3"
"93","Slc25a18"
"94","Slc36a2"
"95","Aqp4"
"96","Islr"
"97","Ncan"
"98","Gfap"
"99","Mlc1"
"100","Slc6a9"
"101","Lcat"
"102","Ptchd2"
"103","Slc6a11"
"104","Acot11"
"105","Ak4"
"106","Npas3"
"107","Vegfa"
"108","Naaa"
"109","Ccdc109b"
"110","Maf"
"111","Rnase4"
"112","Hexb"
"113","P2ry12"
"114","Tmem119"
"115","Vsir"
"116","Unc93b1"
"117","Ifngr1"
"118","Prokr2"
"119","Fam212a"
"120","Tmc7"
"121","Hvcn1"
"122","Gpr179"
"123","Lair1"
"124","Tmem173"
"125","Rad51ap2"
"126","Serpina3n"
"127","Vstm2l"
"128","Atp2b3"
"129","Gpr22"
"130","Ppm1h"
"131","Nefm"
"132","Lamp5"
"133","Lrrtm2"
"134","Kif17"
"135","Dazl"
"136","Actn2"
"137","Gm11549"
"138","Tunar"
"139","6330403A02Rik"
"140","Slc35f4"
"141","Pnma2"
"142","Tfap2d"
"143","Neurod6"
"144","Miat"
"145","3110035E14Rik"
"146","Neurod2"
"147","Fam19a1"
"148","Slc17a7"
"149","Prkcg"
"150","Calb1"
"151","Cntnap5a"
"152","Caln1"
"153","Syt17"
"154","Tac1"
"155","L1cam"
"156","Ipcef1"
"157","Cabp1"
"158","RP24-236C17.2"
"159","Pgm2l1"
"160","Atp2b4"
"161","Pde1a"
"162","Egr4"
"163","Gng13"
"164","Stmn2"
"165","Itpka"
"166","Csrnp3"
"167","Scn2b"
"168","Mal2"
"169","Sv2b"
"170","Vgf"
"171","Rgs4"
"172","Cck"
"173","C1ql3"
"174","Enc1"
"175","Ndst4"
"176","A830018L16Rik"
"177","Lingo1"
"178","Nptxr"
"179","Kcnj9"
"180","Diras2"
"181","Cnr1"
"182","Dbpht2"
"183","Mmp17"
"184","Cartpt"
"185","Rprm"
"186","Ppp1r1b"
"187","Trim54"
"188","Klhdc8a"
"189","Slc30a3"
"190","Zcchc12"
"191","Hs3st2"
"192","Hs3st4"
"193","Nxph3"
"194","Lgi2"
"195","Rxfp1"
"196","Kcng1"
"197","Reln"
"198","Doc2g"
"199","Rit2"
"200","Cdhr1"
"201","Deptor"
"202","Rab3b"
"203","Eomes"
"204","Nmb"
"205","Ly6g6e"
"206","Shisa6"
"207","Mylk"
"208","Tpm2"
"209","Crip1"
"210","Myl9"
"211","Cldn5"
"212","Grrp1"
"213","Itm2a"
"214","Car4"
"215","Egfl7"
"216","Id1"
"217","Cyr61"
"218","Sfrp2"
"219","Ndnf"
"220","Cd34"
"221","Abcb1a"
"222","Rgs5"
"223","Atp13a5"
"224","Arhgap31"
"225","Bvht"
"226","Podxl"
"227","Slc7a5"
"228","Col4a1"
"229","Cox4i2"
"230","Slc2a1"
"231","Ndufa4l2"
"232","Pdgfrb"
"233","Palmd"
"234","H2-Q4"
"235","Htr1f"
"236","Aqp1"
"237","Slc2a9"
"238","Bmp7"
"239","Gstm6"
"240","RP23-207N5.4"
"241","Lurap1l"
"242","Gm20726"
"243","Nr2f2"
"244","2700046A07Rik"
"245","Matn4"
"246","Igfbp5"
"247","Wnt6"
"248","Sash1"
"249","Mgst1"
"250","Hey2"
"251","Nkd2"
"252","Frzb"
"253","Foxd3"
"254","Agt"
"255","B3gat2"
"256","Sh3bgr"
"257","Spidr"
"258","Clca3a1"
"259","Heyl"
"260","Kctd12"
"261","Scd1"
"262","Ccdc80"
"263","Prss56"
"264","Igf1"
"265","Slc43a3"
"266","Npy"
"267","Fmo1"
"268","Gm16316"
"269","Aim1"
"270","BC067074"
"271","Clic6"
"272","Prss12"
"273","Fibcd1"
"274","Pde1c"
"275","Resp18"
"276","Th"
"277","Cpne7"
"278","Scgn"
"279","Kcnc2"
"280","Trh"
"281","Gal"
"282","Sema3e"
"283","Hap1"
"284","Syndig1l"
"285","Nrsn1"
"286","Dcdc2a"
"287","Gad2"
"288","Gpx3"
"289","Calb2"
"290","Nppa"
"291","Nxph1"
"292","Vip"
"293","Kcnmb2"
"294","Apold1"
"295","Opn3"
"296","Tac2"
"297","Grem1"
"298","Zic1"
"299","Rxfp3"
"300","Nol4"
"301","Id2"
"302","Nccrp1"
"303","Tex40"
"304","Necab2"
"305","Trdn"
"306","Inhba"
"307","Ccdc85a"
"308","Ppp1r17"
"309","9130008F23Rik"
"310","Ctxn3"
"311","Kcnip2"
"312","Prok2"
"313","Synpr"
"314","Gchfr"
"315","Cpne6"
"316","Isoc1"
"317","Inpp5j"
"318","Kcnh8"
"319","Crhbp"
"320","Chrm2"
"321","Sema3c"
"322","Syt10"
"323","Osbpl3"
"324","Crhr1"
"325","Tpbg"
"326","Pcp4l1"
"327","Cpne4"
"328","Gad1"
"329","Eml5"
"330","Gpsm1"
"331","Rasgrp1"
"332","Nrip3"
"333","Ablim3"
"334","Penk"
"335","Cntnap4"
"336","Shisa8"
"337","Sst"
"338","Wisp1"
"339","Adarb2"
"340","Pparg"
"341","Col7a1"
"342","Mpp3"
"343","Alg8"
"344","Ankrd63"
"345","Sox11"
"346","Igfbpl1"
"347","Pafah1b3"
"348","Islr2"
"349","Cd1d1"
"350","Mycn"
"351","Tubb3"
"352","Dlx2"
"353","Dpysl3"
"354","Cd24a"
"355","Sp9"
"356","Tubb2b"
"357","Crabp1"
"358","Dck"
"359","Kcnb2"
"360","Syt6"
"361","Rgs8"
"362","Dcx"
"363","Myo16"
"364","Rnasel"
"365","Arx"
"366","Nrep"
"367","Sertad4"
"368","Adamts5"
"369","Ascl1"
"370","Adam33"
"371","Gm15631"
"372","Cpa6"
"373","Slc35f3"
"374","Frat2"
"375","Olig2"
"376","Tmem100"
"377","Lhfpl3"
"378","C1ql1"
"379","Cacng4"
"380","Cspg4"
"381","Mmp15"
"382","Col9a3"
"383","Sox6"
"384","Pycr1"
"385","Bmp4"
"386","Pak4"
"387","Lims2"
"388","Bpgm"
"389","Mkrn1"
"390","Fech"
"391","Fam220a"
"392","Rec114"
"393","Rsad2"
"394","Ccdc141"
"395","Dhrs11"
"396","Klf2"
"397","Kdr"
"398","Fam46c"
"399","Acsl1"
"400","Fbxo8"
"401","Igsf11"
"402","Klhl2"
"403","Steap2"
"404","Dopey2"
"405","Gab1"
"406","Smarca5"
"407","Rbbp4"
"408","Marcksl1"
"409","Smim7"
"410","Tfg"
"411","Homer3"
"412","Padi2"
"413","Sdhb"
"414","Arhgef19"
"415","Parm1"
"416","Scarb2"
"417","Cln8"
"418","Tmem165"
"419","Snx17"
"420","Fnta"
"421","Add1"
"422","Ctbp1"
"423","Bdh1"
"424","Rell1"
"425","Sdf2l1"
"426","Plat"
"427","Ablim2"
"428","Elovl6"
"429","Ddr1"
"430","Atat1"
"431","Hadh"
"432","Gclm"
"433","Gm19412"
"434","Nup133"
"435","Mvd"
"436","Zfp101"
"437","2610044O15Rik8"
"438","2410004B18Rik"
"439","Sh3glb1"
"440","Sep15"
"441","Gabarap"
"442","Slc35b2"
"443","Arf4"
"444","Dlk2"
"445","Tmem256"
"446","Tkt"
"447","Arhgef2"
"448","Selk"
"449","Fdps"
"450","Thbs3"
"451","Muc1"
"452","Efnb3"
"453","Dram2"
"454","2810402E24Rik"
"455","Adgrf4"
"456","Tnfrsf21"
"457","Dhcr24"
"458","Ppp2r1a"
"459","Tmem98"
"460","Leprot"
"461","Ctps"
"462","Clgn"
"463","Efcab14"
"464","Acat2"
"465","Ipo13"
"466","Dph2"
"467","Znrf1"
"468","Slc25a51"
"469","BC004004"
"470","Tmem208"
"471","Ptprd"
"472","B3gnt9"
"473","Nubp2"
"474","E130308A19Rik"
"475","Slc44a1"
"476","Snx30"
"477","Atp6v1g1"
"478","Tssc4"
"479","Cd81"
"480","Ywhaq"
"481","Gm4419"
"482","Dhcr7"
"483","Cic"
"484","Cadm4"
"485","Cyp2s1"
"486","RP23-291B1.2"
"487","Mocs2"
