,Acinar,Ductal_term,Ductal_CRISP3,Cancer_A,Ductal_MHCII,Cancer_B,mDCs_A,Ductal_APOL1,Tuft,mDCs_B,pDCs,Endocrine,Endothelial,Macro_A,Mast,Macro_B,T_NK,Mono,RBC,Fibro
0,9.01E-05,0.015650224,0.10631536,0.49604517,0.002272168,0.36145395,0.015980236,0.00205888,0.000111591,2.21E-05,6.88E-08,2.66E-08,1.43E-09,1.86E-08,8.41E-11,9.97E-13,1.15E-12,9.12E-13,6.24E-13,3.39E-13
1,0.013742354,0.10795819,0.58713406,0.15503736,0.041383207,0.07730151,0.012883842,0.003348346,0.00087684,0.000318111,1.06E-05,3.83E-06,7.55E-07,8.81E-07,5.07E-08,1.01E-08,9.00E-09,9.63E-09,6.90E-09,5.29E-09
2,0.027357133,0.28049856,0.33906266,0.19668993,0.026360154,0.104533225,0.016921295,0.004560066,0.002791074,0.001042655,9.80E-05,5.24E-05,1.28E-05,1.62E-05,1.81E-06,5.35E-07,4.67E-07,4.27E-07,3.49E-07,2.90E-07
3,0.115035854,0.23305632,0.20446329,0.15846458,0.06338252,0.1407892,0.040546525,0.017257662,0.013162327,0.006737052,0.002709746,0.001567691,0.000741849,0.001034938,0.000371652,0.000160418,0.000142933,0.000144587,0.000119777,0.000111074
4,0.1245365,0.10452649,0.21521689,0.16144224,0.15799941,0.14009331,0.05382732,0.024153333,0.010332413,0.004930641,0.001537284,0.000557638,0.000230433,0.000364196,0.000119017,2.99E-05,2.75E-05,3.11E-05,2.33E-05,2.10E-05
5,0.06158177,0.2283878,0.20447277,0.20635605,0.10292072,0.12681527,0.039590582,0.015076948,0.009608677,0.003388878,0.000863118,0.00043635,0.000134467,0.000248092,5.83E-05,1.43E-05,1.34E-05,1.28E-05,1.05E-05,9.27E-06
6,0.045058057,0.12295834,0.5894404,0.05306697,0.090955384,0.07532471,0.016841928,0.00441409,0.001376779,0.000528807,2.29E-05,7.45E-06,1.91E-06,1.96E-06,1.59E-07,4.23E-08,3.67E-08,3.94E-08,2.95E-08,2.44E-08
7,0.007061851,0.08655751,0.6172122,0.26911053,0.011418154,0.007191889,0.001189077,0.000226347,2.68E-05,5.59E-06,8.84E-08,1.62E-08,1.46E-09,3.75E-10,1.49E-11,3.42E-12,2.28E-12,2.10E-12,1.39E-12,1.03E-12
8,0.006703665,0.23505178,0.46543953,0.12070634,0.08000504,0.074064694,0.013641441,0.002922652,0.001206533,0.000249414,5.61E-06,2.39E-06,2.79E-07,6.08E-07,1.98E-08,2.39E-09,2.24E-09,1.92E-09,1.60E-09,1.21E-09
9,0.03711888,0.17086273,0.351993,0.10870381,0.08055504,0.19284473,0.037156917,0.011956296,0.00587861,0.002459017,0.000227619,0.000111385,3.47E-05,8.11E-05,8.43E-06,1.78E-06,1.72E-06,1.77E-06,1.41E-06,1.16E-06
10,0.024473052,0.08314023,0.4829529,0.078880675,0.12477823,0.16021436,0.032837488,0.008991875,0.002591427,0.001075857,3.95E-05,1.35E-05,3.19E-06,7.04E-06,4.25E-07,6.04E-08,5.78E-08,6.53E-08,4.77E-08,3.70E-08
11,0.03664364,0.07554118,0.4520813,0.17073412,0.14945723,0.07985265,0.024682965,0.008187781,0.001991214,0.000756807,4.93E-05,1.39E-05,3.22E-06,3.94E-06,4.23E-07,7.25E-08,6.58E-08,7.61E-08,5.29E-08,4.23E-08
12,0.007796039,0.066637345,0.62369823,0.117557816,0.13121521,0.039839942,0.010275468,0.002456481,0.000416857,0.000104407,1.63E-06,4.03E-07,4.74E-08,6.28E-08,2.07E-09,2.19E-10,1.99E-10,2.12E-10,1.48E-10,1.08E-10
13,0.13051212,0.09717971,0.22544199,0.20937471,0.13150813,0.12147896,0.046824045,0.02241038,0.008540306,0.004181871,0.001394483,0.000477353,0.000206848,0.000260567,9.39E-05,2.62E-05,2.36E-05,2.72E-05,1.97E-05,1.79E-05
14,0.06716245,0.17504764,0.18099722,0.118495196,0.19751815,0.1690343,0.055238053,0.019930238,0.011237688,0.00374419,0.000787885,0.000335517,9.48E-05,0.000284535,5.41E-05,8.75E-06,8.32E-06,8.21E-06,6.77E-06,6.06E-06
15,0.10106692,0.17926103,0.17702454,0.19218606,0.13312215,0.12768564,0.04808935,0.021017967,0.012044783,0.004659599,0.001812171,0.000824183,0.000288601,0.000535109,0.000181777,4.62E-05,4.26E-05,4.39E-05,3.54E-05,3.19E-05
16,0.08225785,0.123868406,0.17582308,0.14044014,0.16021925,0.20055363,0.06661247,0.027495535,0.013581216,0.005743651,0.001554589,0.000663116,0.000238994,0.000653507,0.000160594,2.96E-05,2.85E-05,3.06E-05,2.40E-05,2.14E-05
17,0.12840088,0.115028225,0.14769478,0.30329978,0.13632356,0.09912384,0.042802542,0.019046145,0.005501244,0.001841379,0.00062749,0.000161049,4.66E-05,6.26E-05,2.27E-05,4.36E-06,3.62E-06,3.82E-06,2.85E-06,2.59E-06
18,0.004509827,0.048624195,0.2132286,0.2514468,0.032504387,0.38149902,0.051109746,0.013592812,0.002446478,0.000966949,3.34E-05,1.61E-05,2.99E-06,1.78E-05,6.97E-07,4.15E-08,4.45E-08,4.43E-08,3.20E-08,2.31E-08
19,0.043009855,0.0820012,0.27344126,0.16861457,0.21790943,0.13780783,0.051453047,0.018124782,0.005341841,0.001949098,0.000212098,7.04E-05,1.72E-05,3.91E-05,5.23E-06,6.95E-07,6.58E-07,7.15E-07,5.31E-07,4.40E-07
20,0.08106203,0.21478389,0.24261254,0.12796593,0.09400488,0.16011654,0.04370338,0.016806869,0.011294086,0.004920912,0.001171053,0.000621616,0.000244402,0.000449938,0.000103584,3.18E-05,2.97E-05,3.01E-05,2.48E-05,2.19E-05
21,0.09559224,0.13955119,0.33896318,0.18598491,0.07667905,0.11018878,0.031138362,0.012522263,0.005521427,0.002757807,0.000597536,0.000239613,9.67E-05,0.000100776,2.63E-05,9.36E-06,8.28E-06,9.34E-06,6.89E-06,6.06E-06
22,0.084354594,0.12142137,0.22084036,0.2483725,0.15411629,0.10223963,0.04090103,0.017646262,0.00657546,0.00242595,0.000651849,0.00022491,7.04E-05,0.00010501,2.86E-05,6.12E-06,5.47E-06,5.90E-06,4.41E-06,3.89E-06
23,0.029576197,0.14304312,0.32302412,0.15510347,0.10588792,0.17798994,0.042252235,0.014250078,0.006005914,0.002392802,0.000235065,0.000113001,3.12E-05,7.97E-05,8.63E-06,1.49E-06,1.47E-06,1.52E-06,1.19E-06,9.79E-07
24,0.007124467,0.3008693,0.6723333,0.018839337,0.0002336,0.00053211,6.20E-05,4.77E-06,8.79E-07,1.66E-07,1.09E-09,3.95E-10,2.24E-11,7.74E-13,2.31E-14,2.40E-14,1.13E-14,6.95E-15,5.74E-15,4.28E-15
25,0.025766566,0.3716675,0.4866325,0.077171065,0.012809811,0.020874824,0.0039422,0.000726132,0.000319809,8.42E-05,3.52E-06,1.56E-06,2.29E-07,9.64E-08,7.47E-09,3.17E-09,2.29E-09,1.82E-09,1.55E-09,1.28E-09
26,0.035499394,0.26265955,0.21964028,0.14127038,0.12795427,0.14624156,0.04083623,0.012913186,0.009311798,0.002883107,0.000386255,0.000198841,4.96E-05,0.000126549,1.66E-05,2.99E-06,2.82E-06,2.55E-06,2.19E-06,1.91E-06
27,0.00898727,0.2335695,0.4121084,0.11665117,0.11435551,0.08846322,0.018972423,0.004431113,0.001999081,0.000439556,1.37E-05,6.11E-06,8.09E-07,2.11E-06,8.52E-08,1.02E-08,9.69E-09,8.51E-09,7.19E-09,5.56E-09
