,TM4SF1,C4A,CRISP3,CD248
0,1,4,0,3
1,4,1,5,1
2,8,1,4,0
3,0,1,0,0
4,0,0,0,0
5,2,0,0,2
6,4,0,5,1
7,7,1,3,0
8,2,2,3,1
9,1,1,2,0
10,2,2,0,0
11,2,1,1,0
12,3,1,2,0
13,1,0,0,0
14,0,1,1,0
15,0,0,0,0
16,2,0,0,0
17,0,0,0,0
18,1,4,0,1
19,2,3,0,0
20,0,0,2,1
21,0,0,0,0
22,0,1,1,0
23,1,0,0,0
24,0,2,3,1
25,2,1,3,0
26,3,2,0,1
27,5,0,1,0
28,1,1,0,0
29,0,0,1,0
30,0,0,0,0
31,2,0,1,0
32,0,2,0,0
33,3,5,0,0
34,1,3,0,0
35,3,0,0,1
36,1,0,0,0
37,1,1,0,0
38,9,0,0,1
39,0,0,0,0
40,0,1,0,0
41,0,1,0,1
42,1,0,0,0
43,1,2,0,1
44,1,2,2,1
45,1,0,3,0
46,2,2,9,1
47,0,0,2,1
48,4,1,0,1
49,2,0,0,0
50,0,0,0,0
51,1,1,0,0
52,1,0,0,0
53,1,1,1,2
54,0,1,0,0
55,0,0,0,0
56,1,0,0,1
57,0,0,0,0
58,0,1,0,0
59,9,0,0,3
60,1,3,1,4
61,1,1,0,1
62,5,1,3,2
63,1,5,0,2
64,5,1,0,0
65,0,1,0,0
66,1,0,0,0
67,2,4,2,1
68,0,0,2,1
69,4,0,1,1
70,2,0,1,1
71,1,1,0,0
72,0,0,0,0
73,1,1,0,0
74,0,2,0,0
75,4,0,0,0
76,2,0,0,0
77,10,0,0,0
78,2,0,0,0
79,0,1,0,0
80,1,1,0,1
81,1,4,1,0
82,3,2,1,0
83,4,6,0,0
84,6,2,1,6
85,3,7,3,4
86,7,3,0,3
87,1,0,0,0
88,0,0,0,0
89,2,0,0,0
90,4,2,0,0
91,2,1,0,0
92,0,0,0,1
93,0,0,0,0
94,2,0,1,0
95,1,0,0,0
96,7,1,0,0
97,8,0,0,0
98,2,0,0,0
99,14,2,0,0
100,2,0,0,1
101,3,0,0,1
102,1,0,0,0
103,3,5,2,3
104,9,6,2,0
105,5,11,8,3
106,7,19,15,1
107,8,3,1,4
108,1,4,0,2
109,2,2,0,0
110,0,0,1,0
111,1,0,0,0
112,0,1,0,0
113,1,0,1,0
114,2,0,0,0
115,0,0,0,0
116,0,1,0,0
117,1,1,0,0
118,6,0,0,0
119,4,0,0,0
120,9,0,0,0
121,3,0,0,0
122,17,1,0,2
123,2,0,0,0
124,0,0,0,0
125,8,5,0,4
126,18,17,2,10
127,4,4,3,2
128,8,5,2,0
129,10,13,0,2
130,5,1,0,1
131,1,1,0,0
132,0,0,0,0
133,0,0,0,0
134,1,0,1,3
135,1,0,0,0
136,0,1,0,0
137,0,0,0,0
138,1,0,0,0
139,2,0,0,0
140,0,0,0,0
141,1,0,0,1
142,5,0,0,0
143,3,0,2,0
144,9,0,0,2
145,2,0,0,0
146,6,3,1,5
147,2,8,2,2
148,2,4,1,2
149,4,2,0,1
150,1,10,0,1
151,1,4,0,4
152,0,1,1,0
153,0,0,0,0
154,1,0,0,1
155,0,0,1,0
156,1,0,0,0
157,2,0,0,2
158,1,0,0,0
