,GC,PGC,M/TC,OSNs,EPL-IN
16.918x16.996,0.74150425,0.04720746,0.17292696,0.003033449,0.035327863
18.017x17.034,0.42377627,0.24389333,0.17521827,0.09024804,0.0668641
20.075x17.059,0.4609558,0.1736577,0.19274694,0.12678379,0.04585574
18.979x17.065,0.4579071,0.18947347,0.17084415,0.12225438,0.05952092
21.937x16.967,0.4854578,0.18895413,0.26789716,0.025815673,0.031875286
20.899x17.015,0.4781073,0.2213743,0.16965486,0.06969491,0.061168615
24.121x17.055,0.52544475,0.15425201,0.27114132,0.009820838,0.039341122
23.122x17.085,0.75084174,0.05186178,0.16775396,0.001492446,0.028050069
25.068x16.996,0.4404933,0.22653572,0.20413415,0.08295948,0.045877364
26.035x16.991,0.40262228,0.24095888,0.18382789,0.11095287,0.061637998
26.987x16.997,0.4664899,0.19990422,0.14883919,0.11673239,0.068034366
27.948x16.969,0.4579486,0.18298608,0.17876935,0.121038236,0.05925775
9.868x17.084,0.48588544,0.18092564,0.1618607,0.10380946,0.06751872
9.004x17.028,0.48570645,0.19190493,0.14357837,0.102250494,0.076559745
12.074x17.04,0.44935632,0.21676277,0.17746374,0.10554453,0.050872605
10.908x16.974,0.49235114,0.2073997,0.11943826,0.10540169,0.07540916
13.045x17.149,0.42223787,0.24418584,0.21891066,0.06839376,0.04627184
14.014x17.063,0.4887483,0.1929462,0.16283451,0.100369364,0.05510161
15.011x17.051,0.67994887,0.07451936,0.15435474,0.018763106,0.0724139
16.003x17.048,0.5867177,0.13897456,0.16062981,0.04534765,0.06833026
15.076x19.996,0.5561711,0.14338195,0.16316365,0.059400663,0.07788258
15.063x19.016,0.66739756,0.091885306,0.17167458,0.018275352,0.05076714
15.019x18.024,0.65438426,0.09304962,0.16350748,0.018174853,0.070883825
15.932x18.0,0.6263569,0.10445838,0.16426529,0.028816937,0.07610254
15.893x20.047,0.6163608,0.12573041,0.16346191,0.030259086,0.064187825
15.936x19.021,0.63022035,0.11201157,0.18581504,0.018208846,0.053744208
12.973x18.014,0.4538906,0.2051078,0.25614926,0.06023511,0.024617193
14.07x18.032,0.5462865,0.14928128,0.26417297,0.016844591,0.023414547
13.059x20.044,0.50446075,0.17603356,0.15595518,0.09973642,0.06381412
14.013x19.054,0.54791635,0.16436942,0.23571062,0.018557752,0.033445824
14.004x20.024,0.65095955,0.09503714,0.19561677,0.008210365,0.05017611
13.061x19.072,0.47108892,0.2050193,0.17353292,0.09066657,0.059692316
