,x,y
0,10.0,10.0
1,10.0,13.0
2,10.0,14.0
3,10.0,15.0
4,10.0,16.0
5,10.0,17.0
6,10.0,19.0
7,10.0,20.0
8,10.0,24.0
9,10.0,25.0
10,10.0,26.0
11,10.0,27.0
12,10.0,28.0
13,10.0,29.0
14,10.0,30.0
15,10.0,31.0
16,10.0,32.0
17,10.0,33.0
18,11.0,11.0
19,11.0,13.0
20,11.0,14.0
21,11.0,15.0
22,11.0,16.0
23,11.0,17.0
24,11.0,19.0
25,11.0,21.0
26,11.0,22.0
27,11.0,23.0
28,11.0,24.0
29,11.0,25.0
30,11.0,26.0
31,11.0,27.0
32,11.0,28.0
33,11.0,29.0
34,11.0,30.0
35,11.0,31.0
36,11.0,32.0
37,11.0,33.0
38,11.0,34.0
39,12.0,13.0
40,12.0,14.0
41,12.0,15.0
42,12.0,16.0
43,12.0,17.0
44,12.0,19.0
45,12.0,20.0
46,12.0,21.0
47,12.0,22.0
48,12.0,23.0
49,12.0,24.0
50,12.0,25.0
51,12.0,26.0
52,12.0,27.0
53,12.0,28.0
54,12.0,29.0
55,12.0,30.0
56,12.0,31.0
57,12.0,32.0
58,12.0,33.0
59,12.0,34.0
60,13.0,13.0
61,13.0,14.0
62,13.0,15.0
63,13.0,16.0
64,13.0,17.0
65,13.0,19.0
66,13.0,20.0
67,13.0,21.0
68,13.0,22.0
69,13.0,23.0
70,13.0,24.0
71,13.0,25.0
72,13.0,26.0
73,13.0,27.0
74,13.0,28.0
75,13.0,29.0
76,13.0,30.0
77,13.0,31.0
78,13.0,32.0
79,13.0,33.0
80,13.0,34.0
81,14.0,13.0
82,14.0,14.0
83,14.0,15.0
84,14.0,16.0
85,14.0,17.0
86,14.0,18.0
87,14.0,19.0
88,14.0,20.0
89,14.0,21.0
90,14.0,22.0
91,14.0,23.0
92,14.0,24.0
93,14.0,25.0
94,14.0,26.0
95,14.0,27.0
96,14.0,28.0
97,14.0,29.0
98,14.0,30.0
99,14.0,31.0
100,14.0,32.0
101,14.0,33.0
102,14.0,34.0
103,15.0,13.0
104,15.0,14.0
105,15.0,15.0
106,15.0,16.0
107,15.0,17.0
108,15.0,18.0
109,15.0,19.0
110,15.0,20.0
111,15.0,21.0
112,15.0,22.0
113,15.0,23.0
114,15.0,24.0
115,15.0,25.0
116,15.0,26.0
117,15.0,27.0
118,15.0,28.0
119,15.0,29.0
120,15.0,30.0
121,15.0,31.0
122,15.0,32.0
123,15.0,33.0
124,15.0,34.0
125,16.0,13.0
126,16.0,14.0
127,16.0,15.0
128,16.0,16.0
129,16.0,17.0
130,16.0,18.0
131,16.0,19.0
132,16.0,20.0
133,16.0,21.0
134,16.0,22.0
135,16.0,23.0
136,16.0,24.0
137,16.0,25.0
138,16.0,26.0
139,16.0,27.0
140,16.0,28.0
141,16.0,30.0
142,16.0,31.0
143,16.0,32.0
144,16.0,33.0
145,16.0,34.0
146,17.0,13.0
147,17.0,14.0
148,17.0,15.0
149,17.0,16.0
150,17.0,17.0
151,17.0,18.0
152,17.0,19.0
153,17.0,20.0
154,17.0,21.0
155,17.0,22.0
156,17.0,23.0
157,17.0,24.0
158,17.0,25.0
159,17.0,26.0
160,17.0,28.0
161,17.0,29.0
162,17.0,30.0
163,17.0,31.0
164,17.0,32.0
165,17.0,33.0
166,17.0,34.0
167,18.0,13.0
168,18.0,14.0
169,18.0,15.0
170,18.0,16.0
171,18.0,17.0
172,18.0,18.0
173,18.0,19.0
174,18.0,20.0
175,18.0,21.0
176,18.0,22.0
177,18.0,23.0
178,18.0,24.0
179,18.0,25.0
180,18.0,26.0
181,18.0,28.0
182,18.0,29.0
183,18.0,30.0
184,18.0,31.0
185,18.0,32.0
186,18.0,33.0
187,18.0,34.0
188,19.0,13.0
189,19.0,14.0
190,19.0,15.0
191,19.0,17.0
192,19.0,18.0
193,19.0,19.0
194,19.0,20.0
195,19.0,21.0
196,19.0,22.0
197,19.0,23.0
198,19.0,24.0
199,19.0,25.0
200,19.0,26.0
201,19.0,27.0
202,19.0,28.0
203,19.0,29.0
204,19.0,30.0
205,19.0,31.0
206,19.0,32.0
207,19.0,33.0
208,19.0,34.0
209,20.0,13.0
210,20.0,14.0
211,20.0,15.0
212,20.0,16.0
213,20.0,17.0
214,20.0,18.0
215,20.0,19.0
216,20.0,20.0
217,20.0,21.0
218,20.0,22.0
219,20.0,23.0
220,20.0,24.0
221,20.0,25.0
222,20.0,26.0
223,20.0,27.0
224,20.0,28.0
225,20.0,29.0
226,20.0,30.0
227,20.0,31.0
228,20.0,32.0
229,20.0,33.0
230,20.0,34.0
231,21.0,14.0
232,21.0,15.0
233,21.0,16.0
234,21.0,17.0
235,21.0,18.0
236,21.0,19.0
237,21.0,20.0
238,21.0,21.0
239,21.0,22.0
240,21.0,23.0
241,21.0,24.0
242,21.0,25.0
243,21.0,26.0
244,21.0,27.0
245,21.0,28.0
246,21.0,29.0
247,21.0,30.0
248,21.0,31.0
249,21.0,32.0
250,21.0,33.0
251,22.0,14.0
252,22.0,15.0
253,22.0,16.0
254,22.0,17.0
255,22.0,18.0
256,22.0,19.0
257,22.0,20.0
258,22.0,21.0
259,22.0,23.0
260,22.0,24.0
261,22.0,25.0
262,22.0,26.0
263,22.0,27.0
264,22.0,28.0
265,22.0,29.0
266,22.0,30.0
267,22.0,31.0
268,22.0,32.0
269,22.0,33.0
270,23.0,15.0
271,23.0,16.0
272,23.0,17.0
273,23.0,18.0
274,23.0,19.0
275,23.0,20.0
276,23.0,21.0
277,23.0,22.0
278,23.0,23.0
279,23.0,24.0
280,23.0,25.0
281,23.0,26.0
282,23.0,27.0
283,23.0,28.0
284,23.0,29.0
285,23.0,30.0
286,23.0,31.0
287,23.0,32.0
288,24.0,16.0
289,24.0,17.0
290,24.0,18.0
291,24.0,19.0
292,24.0,20.0
293,24.0,21.0
294,24.0,22.0
295,24.0,23.0
296,24.0,24.0
297,24.0,25.0
298,24.0,26.0
299,24.0,27.0
300,24.0,28.0
301,24.0,29.0
302,24.0,30.0
303,24.0,31.0
304,24.0,32.0
305,25.0,17.0
306,25.0,18.0
307,25.0,19.0
308,25.0,20.0
309,25.0,21.0
310,25.0,22.0
311,25.0,23.0
312,25.0,24.0
313,25.0,25.0
314,25.0,26.0
315,25.0,27.0
316,25.0,28.0
317,25.0,29.0
318,25.0,30.0
319,25.0,31.0
320,25.0,32.0
321,26.0,17.0
322,26.0,18.0
323,26.0,19.0
324,26.0,20.0
325,26.0,21.0
326,26.0,22.0
327,26.0,23.0
328,26.0,24.0
329,26.0,25.0
330,26.0,26.0
331,26.0,27.0
332,26.0,28.0
333,26.0,29.0
334,26.0,30.0
335,26.0,31.0
336,27.0,18.0
337,27.0,19.0
338,27.0,20.0
339,27.0,21.0
340,27.0,22.0
341,27.0,23.0
342,27.0,25.0
343,27.0,26.0
344,27.0,27.0
345,27.0,28.0
346,28.0,18.0
347,28.0,19.0
348,28.0,20.0
349,28.0,21.0
350,28.0,22.0
351,28.0,23.0
352,28.0,25.0
353,28.0,26.0
354,29.0,19.0
355,29.0,20.0
356,29.0,21.0
357,29.0,22.0
358,29.0,23.0
359,2.0,14.0
360,2.0,15.0
361,2.0,16.0
362,2.0,17.0
363,2.0,18.0
364,30.0,20.0
365,30.0,21.0
366,30.0,22.0
367,3.0,13.0
368,3.0,14.0
369,3.0,15.0
370,3.0,16.0
371,3.0,17.0
372,3.0,18.0
373,4.0,10.0
374,4.0,11.0
375,4.0,13.0
376,4.0,14.0
377,4.0,15.0
378,4.0,16.0
379,4.0,17.0
380,4.0,8.0
381,4.0,9.0
382,5.0,10.0
383,5.0,11.0
384,5.0,13.0
385,5.0,14.0
386,5.0,15.0
387,5.0,16.0
388,5.0,17.0
389,5.0,8.0
390,5.0,9.0
391,6.0,10.0
392,6.0,11.0
393,6.0,13.0
394,6.0,14.0
395,6.0,15.0
396,6.0,16.0
397,6.0,31.0
398,6.0,32.0
399,6.0,33.0
400,6.0,9.0
401,7.0,10.0
402,7.0,11.0
403,7.0,13.0
404,7.0,14.0
405,7.0,31.0
406,7.0,32.0
407,7.0,33.0
408,8.0,10.0
409,8.0,11.0
410,8.0,13.0
411,8.0,14.0
412,8.0,31.0
413,8.0,32.0
414,8.0,33.0
415,9.0,10.0
416,9.0,11.0
417,9.0,13.0
418,9.0,16.0
419,9.0,17.0
420,9.0,18.0
421,9.0,26.0
422,9.0,27.0
423,9.0,29.0
424,9.0,30.0
425,9.0,31.0
426,9.0,32.0
427,9.0,33.0
