,Astrocytes,Neurons,Oligos,Vascular,Immune,Ependymal
16.92x9.015,0.022142971,0.8434476,0.007966418,0.08591379,2.19E-08,0.04052909
16.945x11.075,0.022440039,0.8477437,0.007190382,0.082856685,1.80E-08,0.039769206
16.97x10.118,0.022309229,0.8458904,0.007563172,0.08410311,1.99E-08,0.04013415
16.939x12.132,0.020375526,0.8652687,0.001506665,0.0826667,7.31E-10,0.030182365
16.949x13.055,0.02024494,0.86667293,0.001414656,0.08189113,6.36E-10,0.029776195
16.942x15.088,0.019977814,0.8684621,0.001278397,0.08107314,5.18E-10,0.02920853
16.941x17.065,0.89206016,9.64E-05,0.024237275,0.08358527,8.58E-06,1.23E-05
16.919x16.055,0.02706652,0.83740246,0.003457159,0.09170715,8.92E-09,0.040366556
9.862x9.024,0.26993096,0.038857285,0.4592661,0.092375435,0.1303972,0.009172952
12.08x9.115,0.9109334,1.70E-05,0.031033006,0.058012854,2.57E-06,1.04E-06
10.802x9.131,0.37936732,0.043128446,0.3396655,0.12281085,0.102471106,0.012556786
13.979x9.1,0.07665132,0.71145135,0.010978867,0.13962409,6.50E-07,0.061293755
15.008x9.051,0.016371658,0.8749614,0.001623435,0.07571062,7.54E-10,0.03133283
15.949x9.027,0.02509105,0.8464724,0.002828297,0.08689331,5.87E-09,0.038714968
15.944x10.075,0.016160745,0.8779958,0.001525758,0.073409475,6.70E-10,0.03090814
15.002x11.082,0.1779369,0.054619763,0.6227672,0.061068654,0.0812658,0.002341637
15.004x10.067,0.02978216,0.8259216,0.005735285,0.09625236,2.46E-08,0.042308714
15.968x11.107,0.18241741,0.038547024,0.6926949,0.0486893,0.03718685,0.000464558
13.095x11.07,0.03449283,0.81192815,0.003253845,0.108974785,1.12E-08,0.041350324
13.98x11.112,0.03998461,0.7688721,0.003384968,0.13911721,3.12E-08,0.048641223
13.044x10.102,0.0322089,0.8172266,0.004902693,0.1046335,1.81E-08,0.041028306
14.012x10.11,0.023299428,0.8406985,0.004055837,0.09255781,8.26E-09,0.039388392
14.025x13.091,0.40449363,0.034280058,0.30844164,0.110828444,0.11839138,0.023564946
13.03x12.084,0.01988283,0.8577615,0.002007787,0.08538944,1.81E-09,0.034958474
13.071x13.097,0.01990356,0.8664974,0.003119631,0.07623359,2.62E-09,0.03424581
14.011x12.095,0.32072112,0.0787938,0.31250057,0.14949352,0.10840524,0.030085718
15.941x12.112,0.26988757,0.004229059,0.66632897,0.05258136,0.006961231,1.19E-05
15.041x12.084,0.26905906,0.0746531,0.45305666,0.10709368,0.0894093,0.006728122
15.044x13.062,0.22526205,0.014107328,0.66767704,0.059766028,0.033083897,0.00010365
15.919x13.049,0.2670286,0.06524934,0.43166003,0.10674517,0.11875826,0.010558514
10.861x10.031,0.93146366,1.01E-05,0.019623503,0.048901297,8.37E-07,5.46E-07
12.009x11.134,0.045521285,0.7912913,0.006271768,0.10843281,7.09E-08,0.048482705
12.053x10.127,0.93302244,9.74E-06,0.018358508,0.048607964,7.28E-07,5.26E-07
10.877x11.024,0.92566687,1.85E-05,0.024150398,0.050160524,2.34E-06,1.30E-06
9.865x9.925,0.93019444,1.03E-05,0.020475239,0.049318533,9.14E-07,5.61E-07
9.904x11.036,0.9245494,1.84E-05,0.024908852,0.050519567,2.44E-06,1.29E-06
9.894x13.04,0.029237607,0.8362759,0.002892237,0.092151776,7.03E-09,0.039442435
9.876x12.033,0.92527765,1.90E-05,0.024663454,0.05003611,2.47E-06,1.34E-06
12.025x13.139,0.028526535,0.8428352,0.003001355,0.0864653,7.07E-09,0.03917165
10.901x13.022,0.03313619,0.8095265,0.003307643,0.11128508,1.19E-08,0.042744678
10.897x12.014,0.9238065,1.55E-05,0.012989617,0.06318673,5.61E-07,1.12E-06
12.054x12.119,0.032990962,0.812432,0.003492431,0.10832214,1.25E-08,0.042762548
12.033x15.113,0.23056087,0.075430974,0.3417654,0.09749113,0.17927714,0.0754746
10.927x15.025,0.032524444,0.8107286,0.00309043,0.11144202,1.05E-08,0.042214427
12.156x14.169,0.023547264,0.83594376,0.00465981,0.09971435,7.20E-09,0.036134772
10.918x14.019,0.018868295,0.8624336,0.001314059,0.08504834,1.08E-09,0.032335717
9.853x15.049,0.023779547,0.8296678,0.004111496,0.10606792,6.39E-09,0.036373187
9.846x14.032,0.01903746,0.85926694,0.001270346,0.0878474,1.08E-09,0.032577775
9.903x17.052,0.01908665,0.8601249,0.001425087,0.08708794,8.51E-10,0.032275375
9.938x16.03,0.018651115,0.86110026,0.001126026,0.08716516,8.48E-10,0.03195749
11.996x16.133,0.27204198,0.024397211,0.575828,0.052760266,0.0739601,0.001012359
12.138x17.112,0.310007,0.023012767,0.49148795,0.064101025,0.10780203,0.00358918
10.882x16.005,0.18294409,0.02868047,0.71609354,0.051355872,0.020765046,0.000161104
15.042x15.076,0.26717868,0.049646188,0.45801446,0.081045866,0.1338543,0.010260588
15.959x14.072,0.25563702,0.062254824,0.43150166,0.11711088,0.120037705,0.013457852
15.052x14.069,0.25753632,0.057790186,0.52635175,0.07920666,0.07629669,0.002818403
15.929x15.087,0.033916302,0.80812824,0.006157068,0.108346485,3.12E-08,0.04345191
13.045x14.103,0.24408373,0.08131904,0.23084062,0.106662594,0.17710294,0.15999115
14.016x15.1,0.28820565,0.05517661,0.43134382,0.09355267,0.11911383,0.012607408
13.988x14.097,0.31044388,0.039096277,0.4750335,0.09596668,0.07636128,0.003098387
12.988x15.112,0.29888853,0.024982074,0.5277637,0.093271196,0.05429124,0.000803168
13.02x17.101,0.25850946,0.061202668,0.41327655,0.11902878,0.13358434,0.014398146
13.004x16.105,0.17697495,0.09801599,0.4184755,0.08294326,0.1773634,0.04622696
14.042x17.098,0.5714144,0.011271396,0.2518775,0.13165264,0.027804786,0.005979292
14.068x16.1,0.26595476,0.04763839,0.49481982,0.07971522,0.10723296,0.004639026
16.001x16.036,0.036233414,0.8215159,0.001765595,0.0941488,1.10E-08,0.046336293
15.026x17.076,0.017967068,0.8848278,0.00161903,0.064684406,1.14E-09,0.030901706
15.987x17.056,0.035799894,0.8243901,0.00173952,0.09199723,1.06E-08,0.04607312
15.003x16.087,0.040956922,0.8137921,0.005591132,0.09367279,5.86E-08,0.04598686
15.965x19.084,0.022148449,0.84368926,0.001761714,0.09722113,2.02E-09,0.03517956
15.979x20.048,0.04036221,0.81431663,0.005396382,0.09430252,5.46E-08,0.04562212
15.982x18.073,0.021072853,0.8573081,0.001376396,0.08653536,1.41E-09,0.03370728
15.087x18.088,0.012986939,0.89757377,0.000620097,0.062464688,1.14E-10,0.02635456
15.043x19.053,0.02140909,0.8555949,0.001384498,0.087707125,1.45E-09,0.033904415
15.03x20.071,0.01913374,0.8626868,0.001195523,0.086031854,5.83E-10,0.030952068
13.963x18.117,0.28862086,0.067294866,0.39472473,0.10952363,0.116161294,0.023674574
14.018x20.086,0.27893606,0.082529515,0.31502298,0.111389875,0.14551438,0.066607185
13.051x18.114,0.3350865,0.0313817,0.42421898,0.090316266,0.10784084,0.011155719
13.039x19.141,0.25401604,0.031742692,0.6064762,0.07326562,0.034143995,0.000355537
14.024x19.115,0.37939247,0.006740355,0.52588737,0.058718417,0.029053608,0.000207757
13.075x20.083,0.36756396,0.055619456,0.29046685,0.12950712,0.1191821,0.037660602
10.915x19.122,0.23952784,0.046989273,0.49275553,0.08530331,0.12825052,0.007173569
12.074x19.146,0.15096574,0.058729913,0.63828784,0.06125571,0.08626037,0.004500433
12.12x18.147,0.06418608,0.022139367,0.8730368,0.023413839,0.01688464,0.000339292
10.891x18.054,0.3199684,0.0422583,0.3010252,0.10141244,0.16463071,0.07070492
12.083x20.128,0.21673855,0.06973674,0.46265215,0.0772167,0.15153179,0.022124026
10.889x20.06,0.20639864,0.033260774,0.647479,0.06651854,0.04580227,0.000540781
9.927x19.137,0.027731074,0.826216,0.005713482,0.09982071,1.98E-08,0.040518794
9.922x20.102,0.02098038,0.8515167,0.000927164,0.09276388,8.20E-10,0.03381183
9.973x18.069,0.029600244,0.8165829,0.002594558,0.10929611,9.85E-09,0.0419262
16.941x18.066,0.81131846,0.001613509,0.06495778,0.12168663,0.000181154,0.000242498
16.982x20.044,0.9545979,4.05E-06,0.009171216,0.036226332,1.72E-07,2.54E-07
16.963x19.075,0.9392806,2.27E-05,0.01676,0.043932687,2.06E-06,1.98E-06
7.948x14.067,0.915839,3.91E-05,0.023637809,0.06047712,3.55E-06,3.36E-06
7.934x15.059,0.07690144,0.6927461,0.005472207,0.16628884,2.16E-07,0.05859118
